,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
train_loss,1.511253328742981,0.9139267079353333,0.6962520443916321,0.5573151013374329,0.4790471915054321,0.42911920080184934,0.395077452545166,0.35943471773147584,0.3374809989833832,0.32779899399757384,0.30585052205085755,0.29683155275344847,0.2848471588420868,0.27934129860877993,0.2666987295627594,0.26051551349163055,0.25426005212783814,0.2545366914367676,0.2448569344139099,0.24323500703811646,0.24041225750923156,0.23082357779502868,0.22903055948734283,0.22546367134571074,0.22134685741424562,0.21307973271369934,0.20845446182250976,0.20931110626220703,0.20596509561538695,0.20329768407344817,0.20219238816261292,0.19515224255084992,0.19686127461433411,0.19431919322013855,0.18991091108322145,0.189579585981369,0.1854250057888031,0.18776018480300904,0.1829743794631958,0.17852275094032288,0.18364548340797424,0.18156371507167815,0.17542622276306152,0.1797415149497986,0.1800645504140854,0.17516738594055176,0.1718102613544464,0.1722474631381035,0.16925172003746033,0.17191655979156495,0.17061492520332336,0.16951614629268646,0.16264287657022475,0.1711690611720085,0.16835975561141966,0.16214129148483275,0.1657501116514206,0.1653923721575737,0.1578943401503563,0.159995431098938,0.16299211746692657,0.15758116413116455,0.15572706296920777,0.15635948924541473,0.16233732366085052,0.15662485138893129,0.15440510686159134,0.15799665380477906,0.15983843542575837,0.15084687562704086,0.1516597081518173,0.15317493192434312,0.15288528459072112,0.1538624234867096,0.1547748320245743,0.14586943383216858,0.14805580285549164,0.15485464592456819,0.15002453059434892,0.14569386788129807,0.10416350397109986,0.08907783535003662,0.08364020151615142,0.07912610483407974,0.07560312202453613,0.07197991283655167,0.06861538815498353,0.06573263531982898,0.0660209290111065,0.06260995438337326,0.06193724907636643,0.06140863416433334,0.05724101571798325,0.056871127022504804,0.05593208856344223,0.053997938940525056,0.05204082142353058,0.052773786135911945,0.052420826728343965,0.05168113119363785,0.052126260974407194,0.05140608874201775,0.04638342776298523,0.0484785542845726,0.048855027726888656,0.04725403370201588,0.04627332100510597,0.04551475456982851,0.046434087104797364,0.04456838045179844,0.04506047064781189,0.045319746925830844,0.044050162394046785,0.04394928082942963,0.04291947911858559,0.04087085709482431,0.04119857458233833,0.041824169417619704,0.04127793715953827,0.03846334347546101,0.037874981672763826,0.034773497548103334,0.03474111765384674,0.03480903560101986,0.03334697540998459,0.03397648134827614,0.03396025427639485,0.032404116367697716,0.032171720170378684,0.03166773291885853,0.03364495086491108,0.03113091928064823,0.03286193749964237,0.03200544181406498,0.031888641677498816,0.029338834080696107,0.03071511859893799,0.031380307899713515,0.031094541013240815,0.031362192574739454,0.031641723709106444,0.031067023638486863,0.03151904680430889,0.03102332484871149,0.029983754438757896,0.030314114071130754,0.029705831394791604,0.031147460575103758,0.02975022545516491,0.030558450509905816,0.029743584243655204,0.031230570666193964,0.029217047346234322,0.0298747229886055,0.029991328744888305,0.030119165220856666,0.028889878465533255,0.02899814803957939,0.028856446355581284,0.02918007934510708,0.02885453301846981,0.0305725095808506,0.029102842482328414,0.02863764550149441,0.028992770379185677,0.029186421725153924,0.029879963383078575,0.028188401950597762,0.028880504289269446,0.029245962273478508,0.029311309062242507,0.02843927634358406,0.028800969073176384,0.0292430470597744,0.027609821987748147,0.028258366813659667,0.028667351883649828,0.02945007176876068,0.028557014819979666,0.02788096095085144,0.028766161001324654,0.02868524901807308,0.029208185612112282,0.02857921202301979,0.027529312645196913,0.028699763625264166,0.028313686031103135,0.027118762587308883,0.027920042829811573,0.028194597007334232,0.028830992274284362,0.027804193101525307,0.027618585194349288,0.02658957043468952,0.028129291581511496,0.027991608117818832,0.028224924478530884,0.02751151973128319,0.027358090661168098,0.027862194318771363
test_loss,1.3623354887962342,1.1109936118125916,1.0447232949733734,0.9741916185617447,0.9779224497079849,0.8702650594711304,0.6523556497693062,0.6665806660056114,0.7329179164767265,0.6634920969605446,0.6555608433485031,0.6287030711770057,0.6514399990439415,0.7534240844845772,0.7658417910337448,0.5219349646568299,0.6376114785671234,0.6273838993906975,0.5486844611167908,0.5356914129853249,0.5596696469187736,0.5796647483110428,0.6475788748264313,0.5002177241444588,0.539858826994896,0.5621623185276985,0.599517128765583,0.5046181178092957,0.53136390209198,0.5504645100235939,0.6024234849214554,0.6368345409631729,0.8402318987250328,0.4871201387047768,0.5935476213693619,0.5858356221020222,0.4913154543936253,0.47463531225919725,0.6502046331763267,0.607870554625988,0.5446050742268562,0.5182632885873317,0.6001757204532623,0.5472033321857452,0.5053600506484508,0.48615218326449394,0.5992943766713142,0.5030483822524547,0.46454777523875235,0.5012628811597825,0.5004920861124993,0.6014836397767067,0.4775561630725861,0.4974384705722332,0.461132123619318,0.5226546928286553,0.43676870852708816,0.5194528871774673,0.5066430747509003,0.5268096259236336,0.6602446010708809,0.5557788905501365,0.5543951544165612,0.5700193065404892,0.6134496802091598,0.47859667122364047,0.4870197010040283,0.4859602843225002,0.4773808592557907,0.5027622453868389,0.5801054906845092,0.6845042502880097,0.4243651360273361,0.4511085906624794,0.4636540013551712,0.4905522947013378,0.5393237100541591,0.5378741855919361,0.46692168712615967,0.4996672224998474,0.31423126757144926,0.30872851133346557,0.2997480908036232,0.2952927425503731,0.2954345992952585,0.2917524789273739,0.2952297572791576,0.2919315905123949,0.28842717364430426,0.28942179009318353,0.29476551480591295,0.2931621463596821,0.29128125064074994,0.28602766938507557,0.2924156866967678,0.2899168132990599,0.2846913904696703,0.2890317419916391,0.2895494636148214,0.28597849912941453,0.29210391484200954,0.2916470742225647,0.2955028722435236,0.2912582339346409,0.2956765835732222,0.2868385484069586,0.29685146681964397,0.2976017379015684,0.29373761065304277,0.30013540528714655,0.290626460686326,0.29675099812448025,0.29714660324156283,0.29650539726018904,0.29896381676197054,0.3013765063881874,0.29544940777122974,0.29639766238629817,0.29668228797614576,0.2936038688570261,0.28952476888895035,0.28673681810498236,0.28589715182781217,0.2853297034651041,0.28692968383431433,0.28469957537949087,0.2858061872422695,0.28729478709399703,0.28547973565757273,0.28562943190336226,0.28556063763797285,0.28439038567245006,0.28517094999551773,0.28505406111478804,0.2856357855349779,0.2854505077004433,0.2882872696965933,0.2866454795747995,0.28385638296604154,0.2851142831146717,0.28527000941336156,0.2859392913430929,0.2866618450731039,0.2870356174558401,0.2834620526432991,0.286454354673624,0.2887834881991148,0.2857546634227037,0.2853056978434324,0.2872786467522383,0.28734145902097225,0.28900285325944425,0.28789043925702573,0.2864231353998184,0.28820370122790334,0.285858583599329,0.2886854044348002,0.2874557599425316,0.28738058015704154,0.28423700377345085,0.28667660243809223,0.2858926206082106,0.2864647644758225,0.28498652175068856,0.28593861289322375,0.2864878372102976,0.28638517439365385,0.28531092837452887,0.286681047976017,0.28680081352591513,0.28830127127468586,0.28660768948495385,0.2868153864890337,0.2896286633610725,0.28768444873392585,0.287239820510149,0.28505781672894953,0.2874150909483433,0.28595935270190237,0.28721913643181324,0.2851697901636362,0.28758065693080426,0.2899483622610569,0.2877476712316275,0.287513537555933,0.2856254853308201,0.28777050353586675,0.2877545228600502,0.2872774506360292,0.28684457890689374,0.2886230178177357,0.28711817897856234,0.2884601408243179,0.28708503462374213,0.28704736799001696,0.28631117329001426,0.287087527513504,0.28681927904486654,0.2904784382134676,0.28935286939144134
train_acc,42.436,65.25,73.256,78.28,81.336,83.182,84.35,85.672,86.616,86.828,87.756,88.118,88.544,88.636,89.102,89.43,89.666,89.586,89.956,90.008,90.194,90.592,90.616,90.776,90.996,91.25,91.538,91.276,91.522,91.516,91.56,92.014,91.81,92.136,92.012,92.022,92.314,92.174,92.406,92.6,92.414,92.436,92.55,92.536,92.576,92.652,92.764,92.764,92.844,92.832,92.892,92.862,93.16,92.914,92.802,93.184,93.088,93.09,93.358,93.19,93.15,93.378,93.436,93.384,93.15,93.374,93.55,93.2,93.26,93.64,93.548,93.54,93.5,93.396,93.528,93.854,93.694,93.414,93.676,93.8,95.65,96.228,96.484,96.726,96.78,97.042,97.104,97.274,97.118,97.388,97.432,97.362,97.61,97.568,97.622,97.792,97.77,97.784,97.82,97.81,97.862,97.798,98.098,97.9,97.976,97.992,98.044,98.052,98.02,98.146,98.11,97.984,98.126,98.158,98.166,98.292,98.314,98.194,98.25,98.388,98.39,98.608,98.634,98.566,98.658,98.658,98.594,98.678,98.688,98.73,98.642,98.76,98.658,98.73,98.696,98.796,98.754,98.774,98.726,98.772,98.794,98.772,98.762,98.8,98.808,98.838,98.788,98.75,98.872,98.804,98.856,98.788,98.87,98.842,98.848,98.86,98.858,98.844,98.878,98.932,98.85,98.788,98.874,98.874,98.802,98.84,98.746,98.904,98.902,98.786,98.808,98.9,98.852,98.896,98.872,98.926,98.95,98.852,98.9,98.916,98.876,98.838,98.832,98.836,98.956,98.85,98.88,98.964,98.898,98.882,98.836,98.94,98.95,98.964,98.93,98.928,98.884,98.91,98.966,98.914
test_acc,50.3,61.33,64.17,68.63,69.43,73.85,77.95,78.13,77.83,78.26,78.43,79.9,79.16,76.52,75.89,82.79,80.2,80.48,81.44,82.73,82.3,81.14,78.88,83.67,83.08,81.96,80.37,83.05,82.63,82.31,81.02,80.53,75.94,84.24,81.44,82.05,84.1,84.96,80.7,81.79,82.83,83.77,81.6,82.64,83.57,84.43,82.76,84.44,84.91,84.68,84.2,82.2,84.9,84.98,85.04,83.72,85.71,84.14,83.87,83.23,80.24,82.56,83.7,81.81,81.42,85.36,84.29,84.35,84.63,84.57,82.65,80.29,86.47,85.99,85.94,84.37,83.51,83.95,85.7,84.99,89.82,89.97,90.39,90.29,90.51,90.64,90.66,90.84,90.71,90.89,90.7,90.58,90.76,90.75,90.73,90.87,90.9,90.74,90.82,90.88,90.64,90.75,90.62,90.85,90.72,90.92,90.61,90.58,90.84,90.79,90.81,90.94,90.75,90.72,90.78,90.67,90.94,90.82,90.83,91.01,90.81,91.19,91.12,91.02,91.09,91.05,91.14,91.06,91.14,91.21,91.17,91.25,91.29,91.28,91.23,91.24,91.13,91.28,91.22,91.25,91.26,91.33,91.2,91.26,91.29,91.29,91.36,91.31,91.32,91.36,91.21,91.28,91.22,91.33,91.14,91.3,91.16,91.24,91.23,91.42,91.24,91.33,91.37,91.27,91.36,91.17,91.25,91.35,91.36,91.2,91.16,91.38,91.35,91.29,91.33,91.1,91.22,91.29,91.24,91.14,91.2,91.25,91.14,91.28,91.29,91.32,91.34,91.25,91.34,91.41,91.27,91.36,91.26,91.4,91.36,91.41,91.33,91.28,91.31,91.33
train_time,0.06965265981376628,0.05431247489226749,0.04990519587036289,0.04999933584266916,0.049646670251246305,0.05362764953652306,0.049662540026028136,0.04964857394128199,0.053170306603317063,0.04969028682659959,0.049658131416496415,0.050514027285758795,0.05447754225767482,0.05101118490214238,0.051093889319378395,0.050914642451059484,0.05542010602438846,0.051135169880469435,0.051309155076361065,0.05440967893966324,0.04954210083807826,0.050501134999267894,0.04977326502885355,0.05374684419168536,0.05042814415739016,0.05014011012318799,0.050994972438763476,0.054839287877387705,0.05094687469170221,0.0514350163052454,0.05304914911079894,0.04992155162879573,0.05030375734314589,0.05025655168401616,0.05375757668634205,0.05023409216605184,0.05042081720688764,0.04973853884450615,0.053206049877664315,0.04974037058213178,0.04949104206641312,0.04997145123493946,0.05320136931241321,0.049945562391939674,0.050236328178659424,0.052073798216212434,0.0504079310180586,0.049884190034988285,0.05036249063204012,0.05338894985520931,0.04983480994963585,0.050212184486486726,0.04998791248292264,0.053630586780245654,0.05058853644544206,0.05063632443128035,0.050313041033342366,0.05376254567099959,0.05036467969265131,0.05057157762825032,0.05003006500966104,0.050520346292754266,0.05082484401400437,0.05026965494960775,0.05382676258721315,0.05038304889903349,0.050422438575178766,0.050465786853409786,0.054246104891647766,0.05036026376592534,0.04996101020852013,0.049881662554143336,0.05350168891575025,0.05046398255526257,0.04980580946978401,0.04975478118642822,0.0536685325300602,0.05037774759180406,0.050184837692533915,0.050105619308588756,0.0537652201054956,0.05027430502654951,0.050563987258755036,0.05069065825713565,0.051218872484953507,0.05102765956498168,0.05062303213817079,0.05412742487914727,0.05023892212401875,0.05015475670699878,0.049886226044286545,0.05414733252561916,0.05044713105691973,0.05074684699173169,0.05079091296476476,0.053824934508184645,0.05093733002157772,0.05032877117166739,0.05118644999726044,0.05395909404510732,0.05040474133113461,0.05050002705410618,0.05048911711748909,0.054144823337759815,0.05092632801026639,0.05038489649057998,0.049857140806934715,0.05354492194817194,0.050434900976507865,0.05130283545959941,0.05002101059155086,0.053436536618205896,0.05089417260016322,0.05110879566358483,0.05082671721573071,0.054282037803279164,0.050819348191361295,0.05008509335920329,0.049969329858375024,0.05418161175135151,0.05004740371118726,0.05004041335161995,0.05014257784694662,0.053873846293105494,0.05054006125311108,0.049963404760336325,0.050127444059952446,0.05383606883875854,0.0501879529879831,0.04990411902327672,0.050413657332320345,0.05406788425982151,0.05002146364782777,0.05001061895619268,0.05065211920482118,0.05397812911616567,0.0502356232889473,0.050347366601304934,0.0499367043185417,0.05396434961987273,0.05012383424412564,0.05052953485942557,0.05006834978947554,0.05343272740883596,0.050275049551063794,0.04988280403644532,0.0539684850541527,0.05059669206819266,0.05070429140954371,0.05383607188758947,0.05004407560733883,0.050801326551705675,0.05404973030090332,0.050428155742947706,0.05059430910193402,0.05445183634453112,0.04979349280257359,0.049983978881250564,0.052808134147273304,0.049908634951657344,0.05011776768033157,0.04991491554338304,0.051364296842414094,0.05056625985733383,0.050106747985800816,0.05398708719121831,0.0504253081348546,0.050554788935824733,0.054097711582622866,0.05021258083450825,0.050663995011078426,0.053849918458162976,0.050822003723105504,0.050308158025717184,0.053916546999645966,0.05066471331564667,0.05153783751875543,0.05432360800330901,0.050086417771361365,0.05083523138099924,0.0543939305083526,0.05042503800843378,0.050630226159644555,0.0545260924512468,0.05049102385635571,0.05006857967132802,0.054136467101933705,0.05142355148139817,0.05108961668770636,0.05452103200166122,0.05148805620725198,0.05002137401219829,0.05058316318580257,0.04979435867055908,0.050283379566943856,0.05007505599799973,0.054168263359752764,0.050638551907161315,0.050869102673152526,0.05326606367555116
skip_list,6311.0,18386.0,24287.0,28824.0,31457.0,33017.0,34235.0,35453.0,36224.0,36552.0,37335.0,37648.0,38126.0,38212.0,38688.0,38871.0,39086.0,39124.0,39500.0,39479.0,39615.0,39949.0,40028.0,40137.0,40383.0,40577.0,40776.0,40786.0,40848.0,40978.0,41090.0,41198.0,41180.0,41322.0,41456.0,41512.0,41630.0,41594.0,41739.0,41943.0,41705.0,41800.0,42019.0,41942.0,41841.0,41965.0,42144.0,42066.0,42271.0,42086.0,42193.0,42225.0,42472.0,42134.0,42324.0,42488.0,42349.0,42394.0,42708.0,42662.0,42477.0,42621.0,42729.0,42791.0,42564.0,42694.0,42862.0,42682.0,42583.0,42903.0,42944.0,42809.0,42912.0,42822.0,42795.0,43142.0,43049.0,42792.0,42969.0,43175.0,44614.0,45236.0,45471.0,45597.0,45844.0,45959.0,46140.0,46246.0,46263.0,46355.0,46397.0,46466.0,46568.0,46602.0,46663.0,46713.0,46855.0,46836.0,46849.0,46886.0,46837.0,46878.0,47056.0,47039.0,46987.0,47045.0,47090.0,47104.0,47083.0,47233.0,47184.0,47183.0,47210.0,47182.0,47325.0,47376.0,47352.0,47332.0,47312.0,47455.0,47494.0,47677.0,47663.0,47717.0,47785.0,47750.0,47731.0,47814.0,47819.0,47831.0,47748.0,47862.0,47801.0,47852.0,47841.0,47957.0,47869.0,47888.0,47911.0,47840.0,47831.0,47871.0,47835.0,47875.0,47927.0,47890.0,47947.0,47864.0,47909.0,47871.0,47946.0,47845.0,47916.0,47944.0,47917.0,47905.0,47984.0,47981.0,47999.0,47913.0,47978.0,47932.0,47951.0,47997.0,47967.0,47934.0,47961.0,48017.0,47999.0,47972.0,47968.0,48004.0,48014.0,47973.0,48064.0,48002.0,47957.0,47951.0,47973.0,48025.0,48008.0,48012.0,47985.0,48018.0,48032.0,48014.0,47994.0,48036.0,48028.0,47998.0,48011.0,48052.0,48015.0,48087.0,48008.0,48033.0,48019.0,48038.0,48042.0,48003.0
