,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
train_loss,1.606710490875244,1.0264011788749694,0.7742354454231262,0.6284009348678589,0.5384575978279114,0.4840939570045471,0.4457245244026184,0.4154742578315735,0.3892026361274719,0.3697443467140198,0.3493776943397522,0.3374398862504959,0.3276893265247345,0.31756988017082216,0.30464909410476687,0.29470054178237914,0.28893616245269776,0.28342620730400087,0.27288563572883606,0.2714298836708069,0.2714052887439728,0.26299412232875824,0.25436977226257323,0.2534724292182922,0.24303934587478637,0.24471775221824646,0.23947257642507552,0.2340150197505951,0.23031460813999177,0.22855594407081603,0.23079030508041382,0.22737366691589356,0.2218075221157074,0.21951168595314025,0.21607058718204497,0.2149061367034912,0.21767236516952515,0.21224416319847106,0.21101388105392457,0.20801348128318786,0.20129017333030702,0.20800516150951384,0.20375761137962342,0.19983577612876893,0.19605745163440705,0.1965129655122757,0.19666676451683043,0.19160507563591003,0.19342098074913025,0.1944230830669403,0.1912247351551056,0.18835953793525695,0.18599678825855256,0.18791749405384064,0.19116541060447692,0.18966748106956483,0.18664034314155578,0.1866361587715149,0.18731683641433716,0.18520969291687012,0.17998293782711028,0.1795534551811218,0.17720154062747956,0.17938694140911102,0.18286882609367372,0.1776004552745819,0.17492277972221373,0.17303492034435272,0.17456225031852723,0.17764705044746398,0.17814762318611144,0.17408551166057587,0.17071644792556762,0.168906277012825,0.17298542348861695,0.16675381352901458,0.16760882764816284,0.16382769720554352,0.1693711473798752,0.17218716578006743,0.11910717041969299,0.10061972153902053,0.09182141581058502,0.08382289598464966,0.08375595876455307,0.07781386096000671,0.07414010225296021,0.07152913802623749,0.06769959714651108,0.06664958660244942,0.06360189578652382,0.06381824330329895,0.0619957573223114,0.06138778266906738,0.05996198377847672,0.057878379358053206,0.05758752730980515,0.05567883149862289,0.05476484696865082,0.05290671874403954,0.052109552441835405,0.052044937517046926,0.050342629196643826,0.05064501261591911,0.04954622112751007,0.04682519695520401,0.04833655708551407,0.046141128010749814,0.0448300098657608,0.04407366486310959,0.043588012619018554,0.04395772525787354,0.043129178731441495,0.04126465749561787,0.04148304390311241,0.04149593439102173,0.04088606868714094,0.04124506281077862,0.04033515648424625,0.03965145344674587,0.03623739881336689,0.0339151624417305,0.03316187647640705,0.03357851776599884,0.03347989757657051,0.0313369477391243,0.0341254584646225,0.03072761783361435,0.03187623925924301,0.0320348036980629,0.030123564534187318,0.03039660332530737,0.029958329558968544,0.029036567376554013,0.03063158516943455,0.029269676603078842,0.030101874966621398,0.028531183470487595,0.029327626764774323,0.02959018713772297,0.029466595796346664,0.029141301157474517,0.02800108848452568,0.027991906717419624,0.028906420705020426,0.029466154957413674,0.028590137087702753,0.028150955770015716,0.028892712019085883,0.028302833950519562,0.028338212750852108,0.02853475302398205,0.027845199336409568,0.02890212905228138,0.027757510978579522,0.026837055242061616,0.026855742688179016,0.028136976694464685,0.02794702339053154,0.027368818047344683,0.027766433355808258,0.026522774842977524,0.027617099770903587,0.027572529678940774,0.02742592567503452,0.027125345950722694,0.027661958942413332,0.026382993735969067,0.026366449841260912,0.02705933867573738,0.026398344187140464,0.027293130535185336,0.026495561104416848,0.027140918876826764,0.025575652276277543,0.026661164056062697,0.027094904991984366,0.026958486461639404,0.02699221819460392,0.026736672058403493,0.02739633504450321,0.025564911025762558,0.02546638313472271,0.02577355490028858,0.025835464523136616,0.026604739830195904,0.025096547116041184,0.025716964857578278,0.026057083450555803,0.025991506358087064,0.025469780921936035,0.025129320387244223,0.02588761343598366,0.025693684767484664,0.02603992278367281,0.025055848987698554,0.024333461223542692,0.024772753278315067,0.02520175397217274,0.02489143200457096
test_loss,2.0762978065013886,1.2233870482444764,0.9958573317527771,0.792809454202652,0.8991003501415252,0.8547415310144424,0.7092330268025399,0.7471992665529251,0.6502389642596245,0.722482658624649,0.6401802262663842,0.6538257619738579,0.5932099743187428,0.6573219290375709,0.5283052435517311,0.5522516858577728,0.5318284898996353,0.5801336970925332,0.703123750090599,0.5589662432670593,0.5524269396066666,0.4950523744523525,0.5347336143255234,0.6127241182327271,0.5121430948376655,0.5912796702980995,0.5038856548070908,0.4984791314601898,0.4979676662385464,0.5080787122249604,0.4698148123919964,0.4643518963456154,0.4643079675734043,0.5736211556196212,0.46289844512939454,0.5769519147276878,0.5515234315395355,0.5474817407131195,0.46113271832466124,0.5120029991865158,0.7180265617370606,0.5803046441078186,0.5206802222132683,0.40835156351327895,0.5437496373057366,0.46316287308931353,0.6448083645105362,0.49291300132870675,0.548107279241085,0.4366400185227394,0.5063702477514744,0.5681820148229599,0.7020871710777282,0.4947453825175762,0.46067431509494783,0.6636701974272728,0.5123985120654106,0.4463145549595356,0.654879298210144,0.5642177343368531,0.504870866984129,0.4806369061768055,0.6126732122898102,0.5127420875430108,0.5209755596518516,0.4473585882782936,0.4763675680756569,0.46169432759284973,0.4273066334426403,0.503363521695137,0.5305298468470574,0.5836584725975991,0.4792285069823265,0.46719028666615486,0.6337865875661373,0.48697745963931083,0.41040987201035023,0.6191225497424603,0.47344116508960726,0.4596283257007599,0.3079544554650784,0.2980931322276592,0.29199753507971765,0.29081350289285185,0.292966293618083,0.29732142262160777,0.29438626147806646,0.2899932353198528,0.29319851711392403,0.2906386788189411,0.2989828069508076,0.29388194397091866,0.2921669840067625,0.2879498847573996,0.29288003586232664,0.28646639809012414,0.29366364344954493,0.301263222694397,0.30501519396901133,0.300716777741909,0.3001687961816788,0.30022812619805334,0.30074132047593594,0.30554511934518813,0.3014399501681328,0.3056467616558075,0.30507719226181507,0.30757774360477924,0.305163249373436,0.30948165081441403,0.3090632755309343,0.3077596269547939,0.3106739284843206,0.3159617970883846,0.3160630986094475,0.30922511547803877,0.3094681251049042,0.31235125377774237,0.31430887974798677,0.31791906990110874,0.3063085929304361,0.3021588706225157,0.3033788827061653,0.3027194323390722,0.30460887849330903,0.3027464750409126,0.30407911211252214,0.3040263668447733,0.30315269373357295,0.30315613232553007,0.30323713682591913,0.3027644445002079,0.30159359738230707,0.3043299734592438,0.302689875587821,0.3020266316086054,0.30533605493605137,0.30412352554500105,0.3036585349589586,0.30484597466886043,0.3037267228215933,0.30769614346325397,0.3016091127693653,0.30413098268210886,0.30299910858273504,0.30274819642305373,0.30298334985971453,0.3026907501369715,0.30276702277362344,0.3048134037107229,0.30441107660531996,0.30503165230154994,0.30753592059016227,0.30468724235892297,0.30673290610313414,0.30411277450621127,0.30331343829631807,0.30430276013910773,0.305037469342351,0.30327980518341063,0.3032208603620529,0.30644069500267507,0.3033331584185362,0.30416531331837177,0.3052454452961683,0.30629369407892226,0.3075970229506493,0.30632319338619707,0.3065815959870815,0.3078234602510929,0.3077699364721775,0.30671881020069125,0.30694305911660197,0.30618035726249215,0.3046660402417183,0.3062550097703934,0.30816443905234336,0.30609039567410945,0.30656217724084855,0.30317895375192166,0.3077434413135052,0.3074271234869957,0.30550393112003804,0.30451693028211596,0.3089881193637848,0.3085703459382057,0.3074055445194244,0.30500130392611025,0.3049922066926956,0.30847603142261504,0.30831571355462073,0.3093342797458172,0.30659206077456475,0.3075442890077829,0.3104019809514284,0.3085409186780453,0.3061618363857269,0.3084518338739872,0.3118181276321411,0.3076746554672718
train_acc,39.512,61.582,70.968,76.304,79.674,81.612,82.982,83.952,85.002,85.864,86.66,86.872,87.214,87.678,88.184,88.554,88.574,88.914,89.304,89.304,89.302,89.776,89.912,89.906,90.33,90.408,90.486,90.684,90.848,90.718,90.774,90.792,91.132,91.312,91.33,91.472,91.25,91.424,91.482,91.684,91.878,91.69,91.812,92.052,92.028,92.158,92.09,92.268,92.198,92.098,92.258,92.456,92.38,92.392,92.2,92.326,92.356,92.428,92.394,92.572,92.74,92.71,92.912,92.642,92.526,92.748,92.808,93.04,92.872,92.748,92.762,92.976,93.0,93.188,92.82,93.17,93.184,93.264,93.026,92.984,95.19,95.942,96.414,96.692,96.622,96.96,96.986,97.176,97.446,97.354,97.52,97.488,97.518,97.536,97.622,97.658,97.782,97.872,97.814,97.934,97.994,98.058,98.026,98.012,98.084,98.15,98.118,98.252,98.344,98.3,98.364,98.344,98.338,98.466,98.382,98.354,98.44,98.394,98.468,98.538,98.654,98.724,98.81,98.816,98.782,98.922,98.71,98.92,98.846,98.802,98.934,98.886,98.938,98.98,98.966,98.976,98.906,99.052,98.918,98.954,98.974,98.968,99.078,99.052,98.974,98.966,99.052,99.068,98.98,99.058,99.028,98.948,99.046,99.012,99.054,99.102,99.148,99.09,99.062,99.058,99.068,99.16,99.056,99.084,99.044,99.09,99.048,99.106,99.132,99.064,99.114,99.052,99.1,99.11,99.144,99.106,99.066,99.084,99.076,99.104,99.072,99.158,99.126,99.076,99.17,99.094,99.146,99.16,99.078,99.11,99.158,99.162,99.12,99.098,99.118,99.164,99.22,99.176,99.184,99.19
test_acc,40.03,57.86,66.31,72.94,71.3,71.88,76.34,76.26,78.83,76.35,79.05,80.21,80.53,78.77,82.76,81.7,82.9,81.6,77.73,82.41,82.51,84.05,82.84,81.24,83.72,82.11,84.46,84.26,84.3,83.8,85.02,85.06,85.02,82.13,84.95,82.35,82.37,82.99,84.9,84.28,80.46,82.69,84.05,86.83,82.89,85.28,82.18,84.55,82.91,85.81,84.66,82.91,80.09,84.44,85.27,81.57,83.63,86.55,79.98,82.25,84.61,84.97,82.1,84.41,84.67,86.17,85.24,85.16,86.49,84.91,84.16,83.17,84.67,85.64,81.79,85.29,86.8,82.32,85.59,85.76,90.19,90.41,90.68,90.85,90.99,90.59,90.95,91.08,90.89,91.01,90.82,91.1,90.98,91.01,90.98,91.2,91.01,90.72,90.67,90.97,90.91,90.7,90.87,90.52,90.86,90.65,90.59,90.82,90.88,90.67,90.63,90.83,90.66,90.87,90.83,90.95,90.95,90.8,90.69,90.84,90.8,90.89,91.03,90.83,90.98,91.12,91.08,91.12,91.09,90.95,91.06,91.17,91.18,91.07,91.08,91.13,91.14,91.08,91.06,91.08,91.07,90.95,91.21,91.12,91.05,91.1,90.96,91.11,91.13,91.04,91.13,91.06,91.11,91.18,91.04,91.12,91.08,91.06,91.01,91.03,90.95,91.13,91.21,91.28,91.19,91.16,91.06,91.05,91.04,90.96,90.93,91.09,91.07,91.06,91.13,91.14,91.1,91.04,91.12,91.13,91.04,91.14,91.08,91.04,91.08,91.11,91.11,91.14,91.07,91.06,91.05,91.11,91.07,91.07,90.97,90.99,91.15,91.11,91.02,91.12
train_time,0.05105928142967127,0.05555774305787538,0.05162479261608075,0.05231116311934293,0.05570789310328491,0.05172962971660487,0.051709015351122295,0.05462341357375045,0.051110517033530624,0.051460583801464656,0.05494725917611281,0.052287626144526256,0.05309043333048711,0.056924969339004865,0.0529063741874207,0.05223143497086547,0.05639344225149325,0.052149720813917076,0.05286103197375832,0.05204872585013699,0.052505205354422255,0.0541066324619381,0.05229349514407575,0.052836515104679196,0.055421210920719235,0.0522223287226294,0.05234162886734204,0.0565019208756859,0.05323551926771393,0.05352287829074713,0.055927154658090734,0.052805632886374396,0.05286593693296623,0.056181903995211474,0.05269652620300917,0.052746631910124096,0.05626399132906628,0.053460063836763584,0.05291810791815638,0.05595789723993872,0.05390913895024058,0.053456636341026674,0.056180872270823135,0.05343773175993234,0.05321239876320295,0.05561539218248918,0.05280233892943243,0.0536022509455376,0.05631808551681011,0.05343157373121023,0.05294123330079686,0.05617658988289211,0.05320576145825789,0.05285954902239163,0.05606079650352068,0.05317380239286691,0.05312010638244317,0.05657691540925399,0.05296470868922865,0.053870347454724715,0.05582151327596601,0.053457944289497704,0.052661385987420824,0.05570423755499408,0.05367233686130065,0.05282214962308059,0.05601993790063102,0.053646842537023835,0.05367923453640755,0.05579314451388386,0.05327733520351712,0.05372848169273123,0.05559925715941602,0.05302914085290621,0.05315524781756389,0.05569238979798144,0.053009253328718496,0.05311939661460154,0.05589763282814904,0.05303645743738355,0.05316682727745427,0.056207862961322755,0.052593936090884,0.053254041525409045,0.056225155930384955,0.051889960418271895,0.05228402120682894,0.05577908391537874,0.052857431914190504,0.05304490269907295,0.05577537958579295,0.05400991439819336,0.05363894667466888,0.05556697247888121,0.05357123579820404,0.052768440197800734,0.05586368104685908,0.05312907604305336,0.05309368765262692,0.05572683427035046,0.05301219788963533,0.05343257679658778,0.05669874364457777,0.05268054362148275,0.053478000718919214,0.05477920334662318,0.053425075452955786,0.05369460552244845,0.053686997469733745,0.053770464704469646,0.052918199383084424,0.05308570459370723,0.05431466700170961,0.0532966214982445,0.05320329007590213,0.05586275542178727,0.05275338202181375,0.05329348912934208,0.05583558728932725,0.05307729286915811,0.05354828541845922,0.05586154808473709,0.05292179273522418,0.053073149507917715,0.05594078354213549,0.053476472035088506,0.05284945007480319,0.05630945183736894,0.0537056813154684,0.05319858207117261,0.05688093995194301,0.05398025354156104,0.05360258387787568,0.05582234804587596,0.05308398810189093,0.05335965729735392,0.05349785531573283,0.05662324178554213,0.05396839419899084,0.05439392806928786,0.058249407107262965,0.054794695066369095,0.05485951016321207,0.056445140058122324,0.05437146062436311,0.05429360811667674,0.05713684357645567,0.05388426048981259,0.05430125641395979,0.0563825347539409,0.05390498888157213,0.054139736058462,0.05748777865143993,0.05459057095715457,0.05491868492282565,0.057805447322328375,0.05384048598501688,0.05395098415482075,0.056926881565767175,0.053941868150325686,0.05360327535273169,0.05406025181645933,0.054804145832500796,0.05384568729059166,0.054559060679677196,0.05677497173514207,0.05449561206885921,0.054085064422139124,0.057116724341116906,0.053267230158266815,0.053830496795342096,0.05719268352479276,0.054449753993002656,0.05426045451932551,0.0571594799266142,0.05431084010912025,0.05424724881301451,0.05719811471222002,0.054206901194189513,0.05377634772864144,0.05399558916116309,0.055449995543340895,0.05377275986439737,0.05366621602831594,0.05710688271485936,0.05368735418295312,0.05366871302085154,0.05671555672765083,0.054361396433447326,0.05427621575572607,0.05648412728858421,0.053780249012705617,0.053472803681707745,0.056166614108073436,0.054414104622648195,0.05439038288867687,0.05397762301023049,0.057140255828037896,0.0543847791374187,0.054119507065209585
skip_list,2641.0,12609.0,19175.0,23848.0,27052.0,29101.0,30485.0,31644.0,32441.0,33232.0,34036.0,34436.0,34855.0,35238.0,35794.0,36178.0,36365.0,36615.0,36999.0,37050.0,37159.0,37275.0,37658.0,37774.0,38110.0,38054.0,38233.0,38502.0,38640.0,38699.0,38596.0,38808.0,39044.0,39066.0,39149.0,39278.0,39189.0,39351.0,39446.0,39551.0,39667.0,39567.0,39760.0,39849.0,40097.0,40044.0,40078.0,40247.0,40104.0,40084.0,40115.0,40331.0,40480.0,40320.0,40232.0,40305.0,40423.0,40405.0,40476.0,40420.0,40661.0,40758.0,40853.0,40789.0,40479.0,40795.0,40929.0,40897.0,40901.0,40764.0,40830.0,40983.0,41046.0,41071.0,41005.0,41176.0,41218.0,41312.0,41163.0,41077.0,43021.0,43876.0,44159.0,44516.0,44654.0,44898.0,45037.0,45201.0,45391.0,45436.0,45610.0,45600.0,45707.0,45808.0,45771.0,45949.0,45962.0,45985.0,46096.0,46191.0,46186.0,46224.0,46273.0,46331.0,46348.0,46518.0,46448.0,46424.0,46601.0,46631.0,46675.0,46627.0,46685.0,46779.0,46838.0,46845.0,46887.0,46864.0,46851.0,46831.0,47109.0,47270.0,47290.0,47202.0,47287.0,47345.0,47262.0,47413.0,47375.0,47338.0,47464.0,47424.0,47443.0,47503.0,47417.0,47518.0,47471.0,47522.0,47525.0,47460.0,47492.0,47512.0,47546.0,47624.0,47493.0,47482.0,47512.0,47527.0,47507.0,47578.0,47529.0,47588.0,47592.0,47554.0,47566.0,47592.0,47593.0,47538.0,47554.0,47601.0,47573.0,47604.0,47589.0,47614.0,47605.0,47646.0,47577.0,47667.0,47667.0,47611.0,47665.0,47625.0,47715.0,47610.0,47715.0,47638.0,47624.0,47617.0,47658.0,47666.0,47622.0,47712.0,47744.0,47725.0,47661.0,47630.0,47692.0,47719.0,47719.0,47709.0,47722.0,47761.0,47700.0,47726.0,47705.0,47748.0,47783.0,47791.0,47721.0,47768.0
