,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
train_loss,1.6251199138641357,1.0659520148849488,0.808198872051239,0.6757932249450683,0.5913004150009156,0.5333799185752869,0.5016778783798218,0.46261716108322143,0.438286042470932,0.41528341722488404,0.3999841149139404,0.38529736694335937,0.3698189798641205,0.3603368466281891,0.3520026004219055,0.34423207473754885,0.3310587605667114,0.3245958980560303,0.32071747935295103,0.30361770996570586,0.30154997223854063,0.300891120262146,0.2928087852191925,0.2900964056968689,0.2790074923324585,0.27993010558128356,0.2767044994068146,0.27121004968643186,0.26695384309768677,0.2680745404624939,0.2664737340545654,0.2583564516925812,0.25327170062065124,0.2509549590873718,0.25224466378211974,0.24924926844120027,0.23997701132774352,0.2473633955192566,0.2368687065219879,0.2431327167034149,0.23632586664199828,0.23500893586158753,0.22875816199302673,0.23700643198013305,0.232918125705719,0.22132813336849214,0.22938379444122314,0.22844607360839844,0.21916518224716186,0.224695815448761,0.2220798530101776,0.22065627931594847,0.21849573044776915,0.2155274505329132,0.21476416446685792,0.21252539219856262,0.21078366485595704,0.21896406571388244,0.21408368134498595,0.2102420928478241,0.21133355990886687,0.21394699758529664,0.20950040689468383,0.20716170013427734,0.20667522061347962,0.19949715620994568,0.20093293186187744,0.20098679104804992,0.20764350065231324,0.20388200765132905,0.2029767314338684,0.20145006244659425,0.19685969361305236,0.19946978204727173,0.19963646122932435,0.19833412469863893,0.2038850265979767,0.1963309941482544,0.1937688818335533,0.19308795372009277,0.1309211602282524,0.10733385040998458,0.09776837508618831,0.09148627419948578,0.08981189223051071,0.08269850270390511,0.07865727147340774,0.07661755203723908,0.07562044311583042,0.0713903311252594,0.07086699648976326,0.06761941277563573,0.06737601219177246,0.0648887324655056,0.06194550146341324,0.060999133584499356,0.060425156841278076,0.057188866074085236,0.05537655673146248,0.053556195557117464,0.0559420593547821,0.053942286360263825,0.05173008652091026,0.049955648427009586,0.04996616952180862,0.049789953351020814,0.0496767904907465,0.04770692553460598,0.047034265148639676,0.04584625649780035,0.04462632958948612,0.044640128849744797,0.04388626627802849,0.043012602199316026,0.0436838583290577,0.04218807518482208,0.04023174979567528,0.04040987789988518,0.039870696330070496,0.03971660371005535,0.03688140633910894,0.03546948414206505,0.03342134800672531,0.032997696419358256,0.03227656098008156,0.030826315085291864,0.031960557477474213,0.03197891965150833,0.0305990443867445,0.030774463226795196,0.03152779550909996,0.030620221054553986,0.03041180491015315,0.03040147851228714,0.03025239640712738,0.029630982924699782,0.030145294439792632,0.02836088825851679,0.030063461438417434,0.029429683399200438,0.028855242183506487,0.030006760438680648,0.02901241032809019,0.029671090255975724,0.028379977333545685,0.028293765664100648,0.029210236752033235,0.02830055013805628,0.028713259655833243,0.02692560200855136,0.026703852205872534,0.02876841427206993,0.028272192222476004,0.02854329540103674,0.02846008809149265,0.02741285161316395,0.02814561553120613,0.027346287366747855,0.027118552168011664,0.027542050655782222,0.026622838498353958,0.027622477679252626,0.026828091449141504,0.026485778682529926,0.0270257534506917,0.027215281402766706,0.026891700837016107,0.027122735654711724,0.026275434407591818,0.026554203524589537,0.026443502723127604,0.026774855799674986,0.026317066958546638,0.026662154663205147,0.02563964844584465,0.02549046367764473,0.025704491252303122,0.026274991044700147,0.02662498203754425,0.02511183366000652,0.025327021990418433,0.025907567746639253,0.025142680630087854,0.02470634855851531,0.026448727051615713,0.02513637786746025,0.025053013216853142,0.02514486351490021,0.02408274787068367,0.02548540281921625,0.02502581890836358
test_loss,1.7193119883537293,1.027421572804451,0.9078234601020813,1.2066130143404008,0.9477121007442474,0.7375889033079147,0.6262804985046386,0.6252448982000351,0.6644026646018029,0.5383852100372315,0.5485379499197006,0.6156207275390625,0.5032168620824814,0.5555255404114723,0.5315036982297897,0.5813560009002685,0.5226367405056953,0.5492099493741989,0.5218594132363796,0.5068679380416871,0.5613062685728073,0.5025414881110192,0.6133035552501679,0.5185140238702297,0.5443361416459084,0.5148885425925255,0.5584079977869988,0.7084382739663124,0.5346627867221833,0.5596978288888931,0.47689305901527407,0.5072431591153145,0.5502398374676705,0.4584485298395157,0.47156223028898236,0.43154950901865957,0.4483029013872147,0.4835627691447735,0.4862106570601463,0.43662420749664305,0.4875698253512383,0.4099486440420151,0.5375610917806626,0.44987274408340455,0.48406829506158827,0.5037223686277866,0.4147380079329014,0.43869889348745345,0.5241348659992218,0.5739864328503609,0.47465423226356507,0.5870305159687996,0.4810885114967823,0.5133553718030452,0.509154950082302,0.593671942204237,0.7196338540315628,0.5217330130934715,0.45313007697463037,0.46964558213949203,0.5002008214592933,0.611259031444788,0.4781020268797874,0.465091999322176,0.4095007379353046,0.5533071959018707,0.49618684440851213,0.5764009109139443,0.5984973260760307,0.49216943129897117,0.4333043760061264,0.417267665117979,0.49087886184453966,0.44003466233611105,0.45138773024082185,0.5360719452798367,0.4369358655810356,0.5780471305549145,0.4986843693256378,0.4425324355065823,0.2850301840901375,0.2856278362125158,0.2833371089398861,0.28743995442986486,0.28835773788392544,0.28936506874859336,0.28667732141911983,0.28326017983257773,0.2836200512200594,0.2901673896610737,0.2908395521342754,0.29048252157866955,0.28623437479138375,0.29070555843412876,0.29302504159510134,0.29499188899993894,0.302373339086771,0.3055046834796667,0.3035331605374813,0.3046008974313736,0.30337053202092645,0.31014596931636335,0.308541656807065,0.3070391155779362,0.3170606707036495,0.31287761121988295,0.31311894215643404,0.31827495619654655,0.3218954987823963,0.31938429206609725,0.3241105377674103,0.32400601610541346,0.336071553081274,0.3265911380946636,0.32851790443062784,0.32467801198363305,0.3351841651648283,0.3367730886489153,0.3326406127214432,0.3298249763250351,0.3259071955084801,0.326844791918993,0.3254407876729965,0.3233071619272232,0.32665904879570007,0.32556124687194826,0.3237665168941021,0.3261721608042717,0.32443076506257057,0.325605656504631,0.32485645830631255,0.32380560964345934,0.32582476884126665,0.32547252759337425,0.3267877319455147,0.3255710722506046,0.3279749807715416,0.3241888189315796,0.32618847735226153,0.3265854270756245,0.32683845713734627,0.3307271570712328,0.3274891668558121,0.3274777272343636,0.3302484431862831,0.328439449518919,0.3294836491346359,0.3307596743106842,0.32691686257719993,0.32660392343997957,0.32871919229626656,0.32860368728637696,0.32830261424183843,0.32810625702142715,0.32860575541853904,0.32838274106383325,0.33015014298260215,0.32892367273569106,0.32909718453884124,0.33005938977003096,0.3305373628437519,0.3280840764939785,0.3285174610465765,0.3335380743443966,0.3299247522652149,0.33045677080750463,0.330168923586607,0.32890586912631986,0.33266677558422086,0.33329254657030105,0.32858075961470606,0.3337513594329357,0.3308488218486309,0.3328597716987133,0.33295013710856436,0.33463732309639455,0.3344900730252266,0.33018507197499275,0.332213966101408,0.33045291021466255,0.3308796809613705,0.3335218867659569,0.3321656835079193,0.33441793113946916,0.33528998635709284,0.33399503588676455,0.33388310223817824,0.3308391577005386,0.3328944145143032,0.33586989134550094,0.3352904146909714
train_acc,39.382,61.266,70.61,75.42,78.45,80.594,81.704,82.988,83.922,84.736,85.096,85.762,86.238,86.494,86.882,87.126,87.57,87.952,88.028,88.548,88.834,88.838,88.864,89.306,89.426,89.44,89.588,89.888,89.762,89.858,90.036,90.23,90.47,90.578,90.38,90.388,90.876,90.714,91.006,90.756,91.02,90.98,91.368,90.92,91.156,91.574,91.21,91.36,91.696,91.34,91.58,91.384,91.658,91.696,91.666,91.796,91.916,91.678,91.788,92.028,91.904,91.672,91.922,91.952,92.126,92.218,92.258,92.108,91.99,92.116,92.2,92.21,92.46,92.264,92.17,92.31,92.096,92.514,92.368,92.552,95.092,96.076,96.37,96.682,96.666,96.982,97.134,97.184,97.236,97.448,97.368,97.556,97.554,97.682,97.67,97.734,97.784,97.944,97.976,98.094,97.974,98.048,98.182,98.222,98.212,98.164,98.198,98.294,98.328,98.396,98.404,98.386,98.432,98.444,98.402,98.452,98.554,98.612,98.6,98.608,98.728,98.754,98.87,98.874,98.95,98.996,98.91,98.962,99.006,99.074,98.966,99.016,99.01,99.042,99.052,99.066,98.988,99.142,98.986,99.062,99.086,99.042,99.006,99.052,99.178,99.112,99.058,99.074,99.068,99.14,99.18,99.102,99.104,99.098,99.108,99.156,99.14,99.106,99.126,99.088,99.208,99.112,99.136,99.166,99.208,99.152,99.17,99.144,99.182,99.136,99.186,99.15,99.2,99.164,99.218,99.194,99.214,99.186,99.178,99.274,99.196,99.192,99.234,99.238,99.15,99.278,99.224,99.246,99.272,99.2,99.252
test_acc,44.94,63.57,68.05,64.53,70.27,76.27,78.91,78.69,78.39,82.67,81.74,80.72,83.21,81.7,82.72,81.51,83.2,81.42,83.5,84.07,81.74,83.4,80.08,83.33,82.97,83.66,82.39,78.72,83.38,82.78,84.39,83.46,82.85,85.26,85.37,86.14,85.36,84.59,84.26,85.86,84.51,87.1,83.67,85.36,85.05,85.22,86.32,86.06,84.06,82.4,85.25,82.67,85.52,84.62,84.02,82.91,80.3,84.46,86.17,85.04,84.74,82.78,85.63,85.03,87.33,83.53,85.44,82.99,81.72,85.66,87.12,86.65,85.61,86.26,85.54,84.41,86.53,83.31,84.34,85.68,90.31,90.49,90.56,90.57,90.53,90.61,90.76,90.78,90.79,91.01,90.96,91.09,90.87,90.97,91.04,90.85,90.85,90.74,90.66,90.88,91.04,90.69,90.83,90.86,90.75,90.57,90.78,90.61,90.71,90.61,90.73,90.68,90.54,90.65,90.77,90.62,90.76,90.65,90.88,90.73,90.8,90.9,90.82,90.88,90.79,90.87,90.85,90.81,90.87,90.96,90.89,90.86,90.81,90.8,90.91,90.97,90.93,90.88,90.75,90.9,90.8,90.83,90.8,90.9,90.84,90.85,90.83,90.78,90.94,90.98,90.85,91.01,90.89,90.84,90.95,90.94,91.0,90.9,90.99,90.85,90.87,90.97,90.95,90.94,90.87,90.95,90.91,90.89,90.97,90.93,91.0,90.99,90.95,90.9,90.89,90.87,90.9,90.9,91.01,90.96,90.92,91.07,90.89,90.98,90.98,90.98,91.05,91.04,91.02,90.85,90.92
train_time,0.051210027826411646,0.05553980495618737,0.05104089758890059,0.051164554513019066,0.05463784369056487,0.05092197488945768,0.052366628061475046,0.05461428537393165,0.05108539100803073,0.05115061769704989,0.054824878492623644,0.050903060552104355,0.05076652658564965,0.054675544314372264,0.0508214055424761,0.05109898879399995,0.0545464671786179,0.05136969144387014,0.0510050811426109,0.05481653506188746,0.05119638674704315,0.05087143807764858,0.054783781471154876,0.051675362355263946,0.05178636114310731,0.054970531512404344,0.051172974774294805,0.05158549928299301,0.05512154864533173,0.05119615564565829,0.0513915405858813,0.05444964362532281,0.050999231045813206,0.05133922447633865,0.05514809176745012,0.05140455177677867,0.05166117797422287,0.05487727204247204,0.05146928577471877,0.05163708794147462,0.05435752746699107,0.05172081310730761,0.0513472514384238,0.05463110943279608,0.05177333897641857,0.05197226604842164,0.05437499543894892,0.05138286910093654,0.05180974994474055,0.05397191803778529,0.051436663283716384,0.05175791494071941,0.054211053701922716,0.0514840146769648,0.05159072375968289,0.05510769109896687,0.05175410451181709,0.05179875707992203,0.05463983091856817,0.05169428644887627,0.05171998809365665,0.054572345655592505,0.05216885893546102,0.0519974500017093,0.055201968268665205,0.051891331172660184,0.05236755002794973,0.054400917819088984,0.05197418803144294,0.05240415551168535,0.054281183520851234,0.05333171171300551,0.055096579939508075,0.056171086133288604,0.05325007438659668,0.053536054728281164,0.056771896074495044,0.05358233781117003,0.05331067416978919,0.056498751920812273,0.05266875135319312,0.05296942888928191,0.05616923366361262,0.05269318407453844,0.052775431776900424,0.05570503573893281,0.053533020531734844,0.053008345996632296,0.05553511829327439,0.053162641232580785,0.05274046168607824,0.05522541255902146,0.05136594199158651,0.051416548926507114,0.0527390653215101,0.05173204317117286,0.051813208538552986,0.05147418341673244,0.053827790653004366,0.052674747184109506,0.05181085910943463,0.05401193821216788,0.051607085615777606,0.05160267517694732,0.05459923817373603,0.0514889342705612,0.051960204263477375,0.05464625175651687,0.051785926379816,0.05161155459216184,0.054925795406331794,0.05133263839175329,0.05171997406903435,0.05381887038345532,0.05176801693713878,0.05207329089074488,0.05167342756715272,0.05434517848217274,0.051393530252949356,0.051699948127922196,0.054600032699077636,0.05155320484619921,0.05129339323019433,0.054432003089534046,0.05195626395437723,0.0517123026006362,0.0547489888222931,0.051984890037790284,0.05153898144012217,0.05414927402115844,0.05177334568384663,0.051707489716122525,0.05134779352056401,0.051726222343152134,0.051891515322048644,0.05173595726032696,0.054317138993831546,0.05169518768330059,0.05209628639318754,0.05477504474122811,0.05166297800400678,0.05234400085780932,0.05425833131346251,0.051625210305918816,0.05130995508959836,0.05152781357240799,0.051644725872732486,0.05158658710587055,0.05174500680030764,0.05425998926772486,0.05173774448502094,0.05135472290351263,0.05438452059655543,0.05110725234536564,0.050906222189783745,0.05413224751991994,0.05079107150397337,0.05117183573105756,0.05100945804430091,0.05430243753106393,0.050888989587574054,0.051000512164572014,0.054473928173484704,0.05134516725759677,0.05123976612334971,0.05398720731515714,0.05244263236784874,0.05459486188181221,0.0572506350934353,0.05292706294437809,0.05226250255809111,0.05205508937006411,0.05505353105647485,0.0520902326344834,0.052038203724814804,0.054911442729823116,0.052061818749703406,0.0518837969016541,0.054700764243864955,0.052524687384095645,0.051889534191707214,0.05162579507169211,0.051846284085832285,0.051985983348563504,0.05189767761913407,0.05489294791160642,0.05210962076016399,0.052112275682142016,0.05486089921058596,0.052044671514759895,0.052077016562147214
skip_list,804.0,7676.0,14515.0,18737.0,21736.0,23839.0,25078.0,26466.0,27633.0,28561.0,29142.0,29714.0,30441.0,30743.0,31148.0,31445.0,31971.0,32217.0,32505.0,33030.0,33292.0,33270.0,33693.0,33617.0,33976.0,34258.0,34354.0,34441.0,34739.0,34684.0,34851.0,35047.0,35344.0,35474.0,35378.0,35595.0,35834.0,35724.0,35988.0,35838.0,36112.0,36093.0,36326.0,35976.0,36269.0,36734.0,36517.0,36431.0,36774.0,36670.0,36694.0,36914.0,36946.0,37002.0,37022.0,37109.0,37283.0,37007.0,37190.0,37322.0,37314.0,37235.0,37305.0,37479.0,37536.0,37793.0,37857.0,37706.0,37463.0,37566.0,37769.0,37780.0,37980.0,37754.0,37809.0,37832.0,37800.0,37937.0,38140.0,38083.0,40316.0,41471.0,42061.0,42485.0,42696.0,43057.0,43322.0,43460.0,43586.0,43722.0,43840.0,44096.0,44146.0,44244.0,44401.0,44589.0,44493.0,44738.0,44819.0,44943.0,44883.0,45027.0,44999.0,45215.0,45307.0,45233.0,45310.0,45372.0,45506.0,45487.0,45524.0,45660.0,45673.0,45726.0,45733.0,45846.0,45887.0,45961.0,45911.0,45964.0,46212.0,46267.0,46368.0,46404.0,46442.0,46532.0,46457.0,46406.0,46527.0,46488.0,46477.0,46584.0,46576.0,46537.0,46499.0,46610.0,46611.0,46653.0,46570.0,46575.0,46652.0,46584.0,46625.0,46580.0,46628.0,46650.0,46607.0,46684.0,46688.0,46782.0,46770.0,46654.0,46612.0,46715.0,46704.0,46728.0,46683.0,46787.0,46819.0,46819.0,46773.0,46808.0,46767.0,46888.0,46732.0,46750.0,46819.0,46768.0,46823.0,46896.0,46799.0,46780.0,46827.0,46811.0,46958.0,46934.0,46871.0,46821.0,46857.0,46931.0,46955.0,46921.0,46921.0,46933.0,46792.0,46884.0,46969.0,46902.0,47033.0,47032.0,46873.0
